date,from,value,comment,woofs
2024-11-13 20:03:00,EQBGiVQ-FG5njdjOLlssDjpL_EZuXvT5Rwd_zPy3bUd-Lx_7,3.15,3.15 TON Ref#GAZTGNRRHE======,11730.5
2024-11-13 20:03:09,EQDhIZOuu4Kidlp_x36Axnd3_yAHhhVl49JtmK0lszogZVFc,5.0,5 TON Ref#GAZTGNRSGA======,1.0
2024-11-13 20:03:10,EQBDFPyBc3xIwT0fXHOKeW1ao363_QMD31_6MhF9vJjjCQXP,3.68,3.68 TON Ref#GAZTGNRSGM======,5126.0
2024-11-13 20:03:24,EQB6J4eCsuW6XPhNNLZET8Dli6C8534WsXEsQ29DcaIXwrBT,5.0,5 TON Ref#GAZTGNRSGU======,1.0
2024-11-13 20:03:28,EQCSE6GGyXThwcLC1RoMaNT3Kvfwhz6eGEBsMLJ-RlarNx2r,4.7,4.7 TON Ref#GAZTGNRSG4======,917.551724137931
2024-11-13 20:03:36,EQBjR3NzLau0oqb76uuQqpZy27EBoh22p3QONDWwNA7wBhPu,3.81,3.81 TON Ref#GAZTGNRSHE======,4183.0
2024-11-13 20:03:37,EQCBAMF2zxKlxLjQVOvX0Vbi9hvXRmfl_rl5264o4k2nlXj3,2.98,2.98 TON Ref#GAZTGNRTGE======,15210.0
2024-11-13 20:03:37,EQCtQoq1vWICSmvx7w61i6EmTbAvy6vbLR6M8qnD8MAOCW0-,2.45,2.45 TON Ref#GAZTGNRTGA======,35081.333333333336
2024-11-13 20:03:41,EQC1MURu3cqDHmN6YKBNhbOkMIG2Spm6xho1Pwm2XRck-Llj,5.0,5 TON Ref#GAZTGNRSHA======,1.0
2024-11-13 20:03:42,EQDzD8Q56YwzXkVtN0rVz1cA0sbFzZGyBQg1T9YteVwH78cO,2.5,2.5 TON Ref#GAZTGNRTGQ======,32457.5
2024-11-13 20:03:42,EQAt9m1YQH73qNL6Q9RgsBfVzxblimGTy0jMW51hl6VVUKZU,4.85,4.85 TON Ref#GAZTGNRTGU======,30.0
2024-11-13 20:03:51,EQCku2Rt-aU7_AiNG-7Lz66ruaywXDFXUGL8kbJ8UaEFwS4G,5.0,5 TON Ref#GAZTGNRTHA======,1.0
2024-11-13 20:03:57,EQAvQcxSEaF6zCngUovud0W1BG6QPcL5ZiemnZ3hUg2fhJ7A,3.03,3.03 TON Ref#GAZTGNRUGI======,14030.0
2024-11-13 20:04:00,EQAayZHtcw2GhzSwQh6maQwTrAClxGgDh6Uq32cgwVbGMLOf,1.53,1.53 TON Ref#GAZTGNRUGM======,150614.33333333334
2024-11-13 20:04:07,EQAOyCuqFNYQAwiLvFKEWAhVnBeGx5W1oRu1pYcWcjZkM8Q0,1.23,1.23 TON Ref#GAZTGNRVGA======,241992.82352941178
2024-11-13 20:04:07,EQAQI5OvvlIKTkHZRoiPK6FnycXvstQx3b5BSG-hyuY2748t,5.0,5 TON Ref#GAZTGNRUGQ======,1.0
2024-11-13 20:04:07,EQCuQKfLKFP_YsF_anpjWvp9sGUwhlyDYSVycY_wDcAzei8c,3.0,3 TON Ref#GAZTGNRUGY======,14797.0
2024-11-13 20:04:20,EQAw3stXb5IbgUZWzyQsehEorxe4hZIrGhZ0VQ2KgDA31KE9,3.88,3.88 TON Ref#GAZTGNRVGM======,3770.0
2024-11-13 20:04:20,EQAvuMD5iwK5vIcTUKZlaH4HRvEXLFmjP73hcvuVcsFw0a3_,4.73,4.73 TON Ref#GAZTGNRVHA======,453.3076923076923
2024-11-13 20:04:26,EQCvxy_upMARJuBpDhCtiXs24TwsoW4fXQfIucewT3aX7ap9,3.62,3.62 TON Ref#GAZTGNRWGE======,5598.0
2024-11-13 20:04:26,EQBzPsV3OJbqo0rAQrzibgFvaMy6f6Wsyf7SR9ocrftO8jwj,2.87,2.87 TON Ref#GAZTGNRWGA======,18099.0
2024-11-13 20:04:30,EQDC3GNhs6cfAwbTOtOSwksK4z0EEvYl9HBfPoGid5FbL344,2.45,2.45 TON Ref#GAZTGNRWGI======,35081.333333333336
2024-11-13 20:04:31,EQBjGqSdaKD6jM_f97EgizG2AqYmMh_qS-8pOWomx1qTyenG,2.85,2.85 TON Ref#GAZTGNRWGQ======,18728.0
2024-11-13 20:04:31,EQAvXJfJyISkHjoR0119cDbjB_JHXvzLJLlVWvsIJ7Uhl2eV,5.0,5 TON Ref#GAZTGNRVHE======,1.0
2024-11-13 20:04:32,EQBKgwSSWTSKY8OW04IUMTs-SKrNP_w3OQW0-LDMhL_Edusf,2.65,2.65 TON Ref#GAZTGNRWGU======,25647.0
2024-11-13 20:04:37,EQAHYiulMMzyLTFH4X3zzayFiieXPEsjhK4oHHVUQqik2MmJ,2.46,2.46 TON Ref#GAZTGNRWGM======,34551.0
2024-11-13 20:04:37,EQCCsVhweAlPjRIOnvbSssTu12PcIq_XCHHctGukf0_TAJho,5.0,5 TON Ref#GAZTGNRWHA======,1.0
2024-11-13 20:04:41,EQBBpQ3dHVV_cd46S2nN5xD2AlbMAyt_p7qpKVaS2d9Mlfog,5.0,5 TON Ref#GAZTGNRWG4======,1.0
2024-11-13 20:04:45,EQCoyAqyeQhDw8O_bdjvC73oOlS4rNnYgz45EYPx0YFu09F1,2.28,2.28 TON Ref#GAZTGNRXGE======,45872.0
2024-11-13 20:04:48,EQC9CQ_-7jRBszfFq-f_GqijdBXf9VYtBNTF9Wjrhvy4TRM9,2.55,2.55 TON Ref#GAZTGNRXGM======,29970.666666666668
2024-11-13 20:04:51,EQCQe3Z8-eLGTcMMQu043RarELOLSKfyDat4m54bbFGIHRwB,2.0,2 TON Ref#GAZTGNRXGQ======,71560.33333333333
2024-11-13 20:05:02,EQAt_V50zZzQW7hjFtqaj20ZPnN7fp4F5X_cKQWxkt_DMEl9,2.1,2.1 TON Ref#GAZTGNRYGU======,61240.666666666664
2024-11-13 20:05:06,EQAztAtRUIebSCoV0CSJBQw6kXFgMEIISiqJP_t8qHhKdTdm,2.33,2.33 TON Ref#GAZTGNRYGQ======,42363.5
2024-11-13 20:05:06,EQDdOqZniokiaT9zvJA-JvyY0NV9tyTK4GsFa8jw0vCfrEAm,3.68,3.68 TON Ref#GAZTGNRYGM======,5126.0
2024-11-13 20:05:06,EQDIKNl2gpMtdRWxc390SFJCvpfX4lfoOa4q7Q_IKODULyKF,3.27,3.27 TON Ref#GAZTGNRYGI======,9667.0
2024-11-13 20:05:10,EQDKkZZgasl_Sxv88RSH127FY4AxtmJ7-HhpjTJfB5QQJgXP,1.83,1.83 TON Ref#GAZTGNRYGE======,93857.5
2024-11-13 20:05:11,EQCq4fz68tcPMwyarjVdv_RW5CZO6zZprSc3O46v8Q5LLso-,3.68,3.68 TON Ref#GAZTGNRYHA======,5126.0
2024-11-13 20:05:19,EQD1mrro_9wXaedxGAFLo6VmUy5VIiM36Z-Kd9JHwKzSdt2a,2.16,2.16 TON Ref#GAZTGNRZGE======,55712.5
2024-11-13 20:05:26,EQDvVarzDxQuoV9lm7ZVenCMKds5oxh8rkhMfoG85-e0BAVi,5.0,5 TON Ref#GAZTGNRZGM======,1.0
2024-11-13 20:05:29,EQA6vR8Lriwc9kxvmwSv1D4cyQHCYlvZFUlQkAvI1zQ6SLnZ,3.04,3.04 TON Ref#GAZTGNRZGA======,13882.5
2024-11-13 20:05:31,EQCsHVb_WSfEw1x-A1I9uGY7G0FM5YsdVvooQDJ_gplTHaAp,3.68,3.68 TON Ref#GAZTGNRZGI======,5126.0
2024-11-13 20:05:37,EQBgBrj57fkyICSTHb6S3eMQNVo1nJ6cYahjatBljUflgA6v,3.13,3.13 TON Ref#GAZTGNRZHA======,12025.0
2024-11-13 20:05:50,EQAI7kACPsGHmkHRilkoEqReWy-f7whmh3N6FZJgDdR0rGa8,5.0,5 TON Ref#GAZTGNZQGE======,1.0
2024-11-13 20:05:52,EQCzF1WTOknznj2TGvVBsFxD6Nw5oAMdGO9wnEy4ct_PalkJ,2.22,2.22 TON Ref#GAZTGNRZHE======,50829.0
2024-11-13 20:05:54,EQBF2NjjRzKSZpzCZevhl23VCdY4FDnWpxBQX5zlxNck4-Th,4.47,4.47 TON Ref#GAZTGNZQG4======,1434.0
2024-11-13 20:06:01,EQBpHTy7ArKTN_HnqNlsYBhTeE2s1l7r7vfaFXI4tlggZUNu,3.6,3.6 TON Ref#GAZTGNZRGY======,5775.0
2024-11-13 20:06:01,EQBfj9qJdy-tiiqU7Dd5BQjDF3lLhP60ssgu6ghTgmhoLmEK,2.66,2.66 TON Ref#GAZTGNZQGY======,25175.0
2024-11-13 20:06:02,EQA8UxA8c4lLRvaAzlI7LldnyE4QfHuFCOq2kSaVKW1_E68j,5.0,5 TON Ref#GAZTGNZQHE======,1.0
2024-11-13 20:06:05,EQDBitheagbSfyu4X5nJt3ryoA4F2eq9ItWu6qUQqWAnXMTu,2.44,2.44 TON Ref#GAZTGNZRGA======,35700.5
2024-11-13 20:06:07,EQB4Xjwbimkx-e4AUMI5DVSoNw7mqh3q1trjSfXd3BE5ThZ_,3.73,3.73 TON Ref#GAZTGNZRHA======,4816.25
2024-11-13 20:06:07,EQBL4amX2OjbeDd6Xs2DLyyr_3IaiGq5hg98_97dJN6vMPjh,5.0,5 TON Ref#GAZTGNZRHE======,1.0
2024-11-13 20:06:15,EQCwMimZsI_7lvXFB9XteSQHzypvpz1AcM3YqY59o5PvUw9h,2.21,2.21 TON Ref#GAZTGNZSGE======,51612.5
2024-11-13 20:06:29,EQD3Q3WZ6Zf8RL3STGSCsB43tzFVytGr0lspL-FrucWEpeuB,3.41,3.41 TON Ref#GAZTGNZSGM======,7721.0
2024-11-13 20:06:38,EQBmmn5oF-_TwHiifi4yeyi_TZ0uwNBkPm2q51JVL2ooZAUK,2.56,2.56 TON Ref#GAZTGNZSGI======,29499.333333333332
2024-11-13 20:06:42,EQDDPrYyhpum3Uk1LAIPAPbTndiT2Nk6uDLnqLIwwG7cRPcD,1.79,1.79 TON Ref#GAZTGNZSGU======,99815.66666666667
2024-11-13 20:06:46,EQCfbwbe1FCwEGb-5mjCQYvU25b1vRnl1i4fACEUtB9T8Kl8,3.18,3.18 TON Ref#GAZTGNZSG4======,11141.0
2024-11-13 20:06:46,EQCEZB6SeHUL2a1NCJ2Dth-TI-jMYNHIMILItAU8AD0wusg-,5.0,5 TON Ref#GAZTGNZTGA======,1.0
2024-11-13 20:06:51,EQBq617skkisKaGdHgAL1Btnf98IBhgOT2OR3y0NieSD2-Gj,2.93,2.93 TON Ref#GAZTGNZTGI======,16644.666666666668
2024-11-13 20:07:00,EQBttXtPb_65RcFB0kvdIDk3gEY-TQgov_AW3CT6zdVwFHPR,3.56,3.56 TON Ref#GAZTGNZUGY======,6188.0
2024-11-13 20:07:04,EQDBhRgB39DMZk_rL1duKpdk3cP_QwrXOZSZgYVOQSQaaIi5,3.9,3.9 TON Ref#GAZTGNZUGM======,3696.25
2024-11-13 20:07:10,EQAoBElX4bPOgUOlg5-9EMv-KgW281fDnfI3f0LXxKX2H1E2,2.37,2.37 TON Ref#GAZTGNZUHA======,39828.5
2024-11-13 20:07:17,EQBaNc6CNxG5AgwMcFe3xGCfemLObfO2lyQIiAH5NWYvvmpL,4.75,4.75 TON Ref#GAZTGNZVGE======,286.79487179487177
2024-11-13 20:07:23,EQA2p4LlTubT_1Cc8CZZL94SJ4HhNJ4f5l2FSOn_xx_c22MG,2.56,2.56 TON Ref#GAZTGNZVGA======,29499.333333333332
2024-11-13 20:07:29,EQCBEhdb4cppCPqfonWxOazQSSx_OynQTWxuMlzb_-ZOnaz-,2.43,2.43 TON Ref#GAZTGNZVGQ======,36290.5
2024-11-13 20:07:29,EQCPm7FJYl8ToCJZCCWeNpF1_mXR8Ou2quU5EDXVTW8yeu-j,1.5,1.5 TON Ref#GAZTGNZVGU======,157862.5
2024-11-13 20:07:42,EQBvJ9VUEEIh9JBKiAcJPRR81HkY7eN1IGEDtWcaDPgL5sLw,2.92,2.92 TON Ref#GAZTGNZWGI======,16841.083333333336
2024-11-13 20:07:42,EQB086sjv8fwizDqkMMLD7fNiM_P0b6E3Bh-v8lXYjQ9MMf_,2.21,2.21 TON Ref#GAZTGNZVHA======,51612.5
2024-11-13 20:07:48,EQCnd-WQ5EotdEhd1-9zQBAqzAiQsZjb_ibcovESbh_aMjQ0,5.0,5 TON Ref#GAZTGNZXGM======,1.0
2024-11-13 20:07:48,EQAveSM2Tr4OQXTZTFIeuSUQe80_wqFwU05cgXrjvRBZjWhE,2.34,2.34 TON Ref#GAZTGNZVHE======,41803.666666666664
2024-11-13 20:07:49,EQBGlrY4mYjxtJU_vLnVsWX8W86O8-DkG8ywP6Ra5gK7yBvv,5.0,5 TON Ref#GAZTGNZXGY======,1.0
2024-11-13 20:07:52,EQB1bmSKPwJT5UOIf9O--3uc96zP-TZAkh6u_DCbRdkbzo8T,5.0,5 TON Ref#GAZTGNZXGQ======,1.0
2024-11-13 20:08:00,EQBs2Pey7mmXEoLsE4OTjIrvLrpbiuLbIY0XEBn8rbsHYS9S,3.25,3.25 TON Ref#GAZTGNZXHE======,10050.0
2024-11-13 20:08:00,EQBSidujOLVpm2wbvsZj3dKdWYk3Xqr3wmVrGula7c-oRX1q,2.22,2.22 TON Ref#GAZTGNZYGA======,50829.0
2024-11-13 20:08:03,EQD8XUWj2K1yI4K8eRFh_Cnv9uq0haTGjnzcAUt8Y4T07N41,3.24,3.24 TON Ref#GAZTGNZYGI======,10138.0
2024-11-13 20:08:05,EQARbyvycs1uxOxAj_-MQODP-WksPpUluTnlOI3oHZ7bd2sD,3.24,3.24 TON Ref#GAZTGNZYG4======,10138.0
2024-11-13 20:08:06,EQCw2VcmVunx8aHpxWTihuOQ-_9oREt2WxOAMZRyfBHw3jF3,5.0,5 TON Ref#GAZTGNZYGM======,1.0
2024-11-13 20:08:07,EQBtOsNakhRD7szpyFPz3hM7iEWrdDy3XgMLvL7I74OirgDj,3.07,3.07 TON Ref#GAZTGNZZGE======,13264.0
2024-11-13 20:08:07,EQBNOhViPJxnpYUZkHByK-JwWD8wNZnrhxdP4cvdZdyCatTH,3.0,3 TON Ref#GAZTGNZYGY======,14797.0
2024-11-13 20:08:09,EQCFBkbWIE6WEsYahA3EUU3FGmSlOITIL3XDac4FXjmryqL1,1.43,1.43 TON Ref#GAZTGNZZGI======,176351.5
2024-11-13 20:08:10,EQDL0VRqa-eTpASVZDhoPXuw3TH5NWNUcSzIyXXDkEgXkLPu,4.79,4.79 TON Ref#GAZTGNZYGQ======,115.0
2024-11-13 20:08:10,EQDlraWPbGxzFjC1j1CQv945tcMLJ8wj9B0L-0O-_fjwF7zk,4.26,4.26 TON Ref#GAZTGNZZGA======,2160.3333333333335
2024-11-13 20:08:34,EQB2w7h84p9a9Xpw77IOTcWO5iPu0_QOASMHdHGIUvXGtq-a,2.12,2.12 TON Ref#GAZTGOBQGM======,59398.0
2024-11-13 20:08:38,EQD2gYu5RTkUkr9ew4wyDFlah5YBOoUnA-9ud4DPsfZAd09E,4.73,4.73 TON Ref#GAZTGNZZHA======,453.3076923076923
2024-11-13 20:08:41,EQCkJoabGANOlHc3o5sfLjWJ_dIodlCPRGQqcjLF2K9WApq-,3.78,3.78 TON Ref#GAZTGOBQGQ======,4360.0
2024-11-13 20:08:42,EQB8y3mPEWV60b6T11lk-X3E1iivutqdVIbAdP7xXeQrfZxV,3.12,3.12 TON Ref#GAZTGOBQG4======,12261.0
2024-11-13 20:08:44,EQDxyZzNH6BI2QplE7Co5J8j8MxIcU98pX1N4mgYwaluR82B,5.0,5 TON Ref#GAZTGOBRGE======,1.0
2024-11-13 20:08:45,EQCoOqQsKfkAT1cCgmcy1fhGnxJzKDHSwgVKFN-pK61FPrLh,2.72,2.72 TON Ref#GAZTGOBRGM======,23170.0
2024-11-13 20:08:45,EQCLgnWJD8rwIsShy69AlcThLj_fSM_CLd2N-KHfZtEOMxyO,5.0,5 TON Ref#GAZTGOBQHA======,1.0
2024-11-13 20:08:53,EQCjKl8GZuKAZ8nMC5JB1vZjlGzjQZ2gdhYtfSSwOf7cNlK_,2.77,2.77 TON Ref#GAZTGOBRG4======,21224.0
2024-11-13 20:09:04,EQD5Ah-4dWQElqvk0pekIj01VeHW3GNcQsQX4UknbG_xv8EX,3.0,3 TON Ref#GAZTGOBSGE======,14797.0
2024-11-13 20:09:08,EQA0LaOy56T5YShaA_I032jHDa9fow_azcQzyDcFGtEnCWGx,3.75,3.75 TON Ref#GAZTGOBSGI======,4654.5
2024-11-13 20:09:10,EQB9NesyV-tBC7OVaEYioNzUUZBhmsg6T75Yssx3cx_sdC-T,1.79,1.79 TON Ref#GAZTGOBSHA======,99815.66666666667
2024-11-13 20:09:14,EQAhD93dlBjko7ZNT0eIkHbZ7ZI3ngPpPhCSUJpO0sAyB3TX,2.8,2.8 TON Ref#GAZTGOBTGE======,20281.0
2024-11-13 20:09:17,EQDdcm0yWneOI0n1SN7KmGi918Nw0gIjXwp6-JjbUQ7OLnXF,4.55,4.55 TON Ref#GAZTGOBTHA======,1263.2
2024-11-13 20:09:21,EQDk16by4lHXRPJxCELq6YTzV8Nf1z-7s3_BWi1AAwZKzto5,2.24,2.24 TON Ref#GAZTGOBSG4======,48899.333333333336
2024-11-13 20:09:25,EQDNVn2BT41TkwZJXHQ6JBwWkFHhhvdsOjdyxIutcDfo8YAB,0.11,0.11 TON Ref#GAZTGOBTGQ======,984875.3846153846
2024-11-13 20:09:26,EQBdKfeZhl9fBDj8UIghqQH5tHN4RY5Effp1xv6Kec2eq2CO,2.4,2.4 TON Ref#GAZTGOBTG4======,37959.2
2024-11-13 20:09:29,EQCzoFmnrivfXSPmuUKGPOTJJRrmz3360LMkEBk1AdNeihMy,5.0,5 TON Ref#GAZTGOBTGI======,1.0
2024-11-13 20:09:33,EQACu32JsBBqKMhcqrJlic7N89YFfrmUECQ52WYLRFGoBLUM,5.0,5 TON Ref#GAZTGOBUGE======,1.0
2024-11-13 20:09:36,EQBr7IhvrRhUYe0doqCDvxf96gHeH3BgZ7sLSaaNwYjQr4pR,2.19,2.19 TON Ref#GAZTGOBVGU======,53317.0
2024-11-13 20:09:36,EQBO1_I8e_9KsZX5U52B069ESz7om-cpbGPNl9Qd3nmB--2z,3.73,3.73 TON Ref#GAZTGOBTHE======,4816.25
2024-11-13 20:09:41,EQBGqlHVFiaPYxJZcvF-l-I2ntbXk3XmCZDehmXL8zrg8jFM,5.0,5 TON Ref#GAZTGOBWGA======,1.0
2024-11-13 20:09:48,EQAzQQv7_BMDGTf5aKmmxt0OZ2bt1B8rO9bRgl5hVYJ-vVfP,2.36,2.36 TON Ref#GAZTGOBVGE======,40447.166666666664
2024-11-13 20:09:48,EQAJbSYXS68UkhwKcV7X2WcG-_cu44yPp3v1dI6OzCTRCY-x,2.8,2.8 TON Ref#GAZTGOBWG4======,20281.0
2024-11-13 20:09:51,EQDcym0-0e5Uqhhx6hSisfCo6SsPClIUojVAkFi0A2YFGKxq,5.0,5 TON Ref#GAZTGOBVGY======,1.0
2024-11-13 20:09:52,EQChslkctRs7fN7yRTV6zF5jg3YdujtiPGRYH1TnbzTfhREv,1.53,1.53 TON Ref#GAZTGOBWGI======,150614.33333333334
2024-11-13 20:09:53,EQArkDWxbrQyyZ1OaTD6OBHzk-eq7hufprp_HW1KFlZfUGCK,3.3,3.3 TON Ref#GAZTGOBWGE======,9254.0
2024-11-13 20:09:56,EQD9KmkyJdCSQ3vpLBWWFjp-itQPs7haIJp438Bvdeiw-2ps,5.0,5 TON Ref#GAZTGOBXGQ======,1.0
2024-11-13 20:09:59,EQDyBXkFkT2JXQBcRv5YhKMf31ZF1ldMe5JHJiunxieyGRvH,3.13,3.13 TON Ref#GAZTGOBXGY======,12025.0
2024-11-13 20:09:59,EQD2lc-CXkMP9RG06mtUKUts-VjBUHnIkYl1x0dNJnQ27Sca,2.81,2.81 TON Ref#GAZTGOBXHA======,19986.0
2024-11-13 20:10:00,EQADTuXOKrC_45uQJkT0DIxM6A_MFyMHP0w6GMqH8nM0KNiX,2.83,2.83 TON Ref#GAZTGOBXGU======,19317.333333333332
2024-11-13 20:10:03,EQDMEbk1rX2xjBgwB-NU8FqjYMODzNYU9jfzNvHBm5ceJUNn,4.49,4.49 TON Ref#GAZTGOBWHE======,1388.2
2024-11-13 20:10:06,EQCkDCkoGqzTIXpf80DZ883FmvJsKVsEacG88RnJbRdtACH2,3.0,3 TON Ref#GAZTGOBXHE======,14797.0
2024-11-13 20:10:07,EQDBhlNOlmpj3TsR-KOfoO_kSAgbZrtD023fROh72vBuY2t5,5.0,5 TON Ref#GAZTGOBYGA======,1.0
2024-11-13 20:10:18,EQA-LWiDrGyE99SHYSDIYfdeeF79n7Ivr-RIhQWz0Nswk7HX,2.45,2.45 TON Ref#GAZTGOBYHE======,35081.333333333336
2024-11-13 20:10:19,EQBpjkYmlvTarFfmOmuAZhijZ3Cpr9hsCvu20ua7slBtpFai,5.0,5 TON Ref#GAZTGOBYHA======,1.0
2024-11-13 20:10:22,EQAmcjVNaR_7OQlR8aT9xrZoI93OptfyDtOHzLKYJdA6q2wK,5.0,5 TON Ref#GAZTGOBYGE======,1.0
2024-11-13 20:10:30,EQBnBgHivtQMSGUPJ0EWilThDzQDjETWb1hPYtrpuB0V_ttd,3.0,3 TON Ref#GAZTGOBYGI======,14797.0
2024-11-13 20:10:39,EQBa4nlLPz9Rb1WTdi0Cf7xSLSRQFsnVzqyHbupgruOemz00,5.0,5 TON Ref#GAZTGOBYGQ======,1.0
2024-11-13 20:10:45,EQCxVC8YP4umftiZvBbPxitNHD0MpJ3LAQ3Rjkr_PhqTAl3K,2.72,2.72 TON Ref#GAZTGOJQHA======,23170.0
2024-11-13 20:10:45,EQBQcA_Jt8FdpiUImp4IsX4ktkGAHpNN5-tUlG9T7k9vdSoG,2.79,2.79 TON Ref#GAZTGOJQGQ======,20575.5
2024-11-13 20:10:50,EQAmdkI6NheiTIhGZX1c7sLJt9o2dXKxkpCMNsBaprmcIqk3,2.23,2.23 TON Ref#GAZTGOJRGE======,49705.0
2024-11-13 20:10:51,EQCG9ZBymovXCavbF4sFpuHYPzhySCdgqI55bzwsf6iu8iBJ,4.71,4.71 TON Ref#GAZTGOJRGU======,712.8928571428571
2024-11-13 20:10:59,EQDdhZ6XVI1TOW6IH1RgWbA3iK80HeGkh-YVeLQHqiORW5eL,2.13,2.13 TON Ref#GAZTGOJSGM======,58476.5
2024-11-13 20:10:59,EQDsLPUXE0ouJcJ3RpcmvCdoLqD-8tEINmXFWQMxeG0fZ3Cr,1.43,1.43 TON Ref#GAZTGOJRGI======,176351.5
2024-11-13 20:11:06,EQAl27oBR1GDG0NJdIirNlsyGP_1oanaHNij8kVH7ROyNKQ5,5.0,5 TON Ref#GAZTGOJSGQ======,1.0
2024-11-13 20:11:09,EQASZRYcGqEVikyCWY6EzjNFYBustclpY6HJyEFko6L5kGLy,2.33,2.33 TON Ref#GAZTGOJRHA======,42363.5
2024-11-13 20:11:09,EQB4mEqwloHOyZS6pnRN8yD2AnN4gzP-l6p8MLFzRDDjkqEL,3.73,3.73 TON Ref#GAZTGOJTGQ======,4816.25
2024-11-13 20:11:15,EQDeaDC9OQC6o9_eDCTXChDucg-NXd2MzfDHm9eewBV_mYZb,3.83,3.83 TON Ref#GAZTGOJSGE======,4065.0
2024-11-13 20:11:17,EQDmIvqaQ-jftKUNZ5TQD0dyudDf0Tl5bbKZNiSHeCzl_n-m,3.69,3.69 TON Ref#GAZTGOJTGY======,5008.0
2024-11-13 20:11:19,EQBL0TWYOvhOt-h5mQ-XeaZ_d_iQqC5Yz4T2RbW1hwYApZav,2.81,2.81 TON Ref#GAZTGOJUGA======,19986.0
2024-11-13 20:11:22,EQA8CLWwQUn5AmSR6MKo5Cmn3E1pp_3BmO7L0Xy6c8TRK0PS,3.32,3.32 TON Ref#GAZTGOJUGI======,8988.5
2024-11-13 20:11:22,EQALSciNm3IflPQgDuggEVSpPDYFW8EHpc_WVHqHdWeCnC2K,3.24,3.24 TON Ref#GAZTGOJUGE======,10138.0
2024-11-13 20:11:27,EQDi-pCfb-ay-TxPjxxoRDjXl3ofP7uVKNGmcN8_v-LJo41c,2.69,2.69 TON Ref#GAZTGOJUGQ======,24113.5
2024-11-13 20:11:29,EQAVHi5ANiJtlxb-daQnWM0fv09ypAtxvYrpB4vMAoEMXnng,4.26,4.26 TON Ref#GAZTGOJSHA======,2160.3333333333335
2024-11-13 20:11:35,EQCse_OD7xPX99Xp6XuzFnpwbwrQbtTn2cLyh9yOEE6dJ1OY,3.0,3 TON Ref#GAZTGOJUGM======,14797.0
2024-11-13 20:11:41,EQA8xyjADLM3s5eMj1K2bF3rWDoENJXGugVx-jJOnB106Me7,0.95,0.95 TON Ref#GAZTGOBUGQ======,370229.3333333333
2024-11-13 20:11:48,EQB8MiQ8Y_cHvP-9fE74w1Sd49MYdafkb3_l7UYvlhFqIo__,3.72,3.72 TON Ref#GAZTGOJVGY======,4860.5
2024-11-13 20:11:54,EQApx3-DJX73HaWuNn23q80dJsLaOJlc3IjO6toH8Kk_u_cf,3.26,3.26 TON Ref#GAZTGOJVGQ======,9962.0
2024-11-13 20:12:08,EQBMN61Fn15ccrFYvj2lQ3A9GpI4Sf3IW6IetmeobMXtH7SW,4.0,4 TON Ref#GAZTGOJWGI======,3121.0
